,molecule_chembl_id,pKi,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
19,CHEMBL328468,9.019996628416253,375.19467704000004,0.391304347826087,5,1,5,5,28,5,0,58.370000000000005,0.727199035165088,4.167200000000003,2.5355287680176204,0,2,2,2,1,3,0,1,1
20,CHEMBL426441,9.320027305722581,389.210327104,0.4166666666666667,5,0,5,5,29,5,0,49.580000000000005,0.656480905606345,4.191500000000004,2.5577110753673793,0,2,2,2,1,3,0,1,1
21,CHEMBL95020,8.439973751087107,375.19467704000004,0.391304347826087,5,1,5,5,28,5,0,58.370000000000005,0.727199035165088,4.167200000000003,2.5693550886849064,0,2,2,2,1,3,0,1,1
22,CHEMBL185799,6.599997654072045,378.20637017609,0.375,4,0,4,4,28,5,0,35.53,0.7262677452739872,4.340300000000004,2.8332810062011244,1,1,2,2,0,2,0,1,1
23,CHEMBL186144,8.100015437450608,424.19409124008996,0.4,4,0,4,5,30,6,0,35.53,0.38449379530696826,5.548100000000006,3.4212363782713195,0,1,1,2,1,3,0,1,1
24,CHEMBL361869,7.36997914888659,440.1890058600899,0.4,5,1,4,6,31,6,0,55.760000000000005,0.45236001738625825,4.518900000000005,3.799925929357199,0,1,1,2,1,3,0,1,1
25,CHEMBL189283,6.41999931041096,468.22030598809,0.4444444444444444,5,1,4,6,33,7,0,55.760000000000005,0.3776870216485031,5.2991000000000055,3.7554270563039394,0,1,1,2,1,3,0,1,1
26,CHEMBL362711,6.959991363986458,452.22539136808996,0.4444444444444444,4,0,4,5,32,7,0,35.53,0.31041168107563055,6.328300000000008,3.4327799679943976,0,1,1,2,1,3,0,1,1
27,CHEMBL185976,6.919987152892072,454.2046559240899,0.4230769230769231,5,0,4,6,32,7,0,44.760000000000005,0.3648206709927736,5.173000000000005,3.879086227429921,0,1,1,2,1,3,0,1,1
28,CHEMBL188325,6.279997898282849,408.16279111208996,0.2916666666666667,4,0,4,5,29,6,0,35.53,0.42154362859419986,5.078100000000006,3.370269938687107,0,1,1,2,1,3,0,0,0
29,CHEMBL187812,4.709999910852971,398.17844117608996,0.391304347826087,4,1,4,5,28,5,0,38.69,0.6470797513124261,4.413500000000004,3.7855727249629183,0,1,1,2,1,3,0,1,1
30,CHEMBL191729,5.570000775141681,380.16787649208993,0.30434782608695654,3,0,4,4,27,5,0,18.46,0.5554337429768454,5.352400000000006,3.3047041806863744,0,1,1,2,1,3,0,0,0
31,CHEMBL364125,7.280006173632396,392.18900586008994,0.5714285714285714,5,0,3,6,27,7,0,44.760000000000005,0.5278318620452861,3.9943000000000035,3.593873812502494,0,1,1,1,1,2,0,1,1
32,CHEMBL610243,7.489991487059765,587.07073203609,0.43478260869565216,8,0,4,10,33,7,0,91.81,0.11642654728603881,5.667300000000005,4.988814978922393,0,1,1,0,3,3,0,1,1
33,CHEMBL372491,7.550059011226662,432.2203059880899,0.625,5,0,4,6,30,6,0,44.760000000000005,0.48022524415300016,4.917000000000005,3.8677479742191263,0,2,2,1,1,2,0,2,2
34,CHEMBL364585,7.100015437450609,448.21522060809,0.5833333333333334,6,0,3,7,31,6,0,61.83000000000001,0.3644789318975988,4.689600000000005,3.682303268960844,0,1,1,1,1,2,0,1,1
